Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Sengoku Basara: Chronicle Heroes,PSP,2011.0,Action,0.0,0.0,0.16,0.0,,,
Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action,0.14,0.0,0.0,0.01,,tbd,E10+
Rudolph the Red-Nosed Reindeer,Wii,2010.0,Action,0.15,0.0,0.0,0.01,,tbd,E
Burger Island,DS,2008.0,Action,0.15,0.0,0.0,0.01,,tbd,E
Rudolph the Red-Nosed Reindeer,DS,2010.0,Action,0.15,0.0,0.0,0.01,,tbd,E
Tak and the Guardians of Gross,Wii,2008.0,Action,0.14,0.0,0.0,0.01,63.0,8,E10+
Jurassic Park: The Game,X360,,Action,0.15,0.0,0.0,0.01,60.0,3.6,T
Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011.0,Action,0.0,0.0,0.16,0.0,,,
Chaotic: Shadow Warriors,X360,2009.0,Action,0.14,0.0,0.0,0.01,60.0,5,E10+
Ultimate Spider-Man,DS,2005.0,Action,0.14,0.0,0.0,0.01,78.0,7.7,E10+
Gundam Breaker 2,PSV,2014.0,Action,0.0,0.0,0.15,0.0,,,
Samurai Warriors: Katana,Wii,2007.0,Action,0.11,0.0,0.04,0.01,53.0,6.8,T
Jikkyou Powerful Pro Yakyuu 2012,PSP,2012.0,Action,0.0,0.0,0.15,0.0,,,
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015.0,Action,0.0,0.0,0.15,0.0,,,
Pro Baseball Spirits 2015,PS3,2015.0,Action,0.0,0.0,0.15,0.0,,,
Burger Island,Wii,2009.0,Action,0.14,0.0,0.0,0.01,,tbd,E
Metal Gear Solid: Peace Walker HD Edition,PS3,2011.0,Action,0.0,0.0,0.15,0.0,,8,T
Sumikko Gurashi: Omise Hajimerundesu,3DS,2015.0,Action,0.0,0.0,0.15,0.0,,,
Candace Kane's Candy Factory,Wii,2008.0,Action,0.14,0.0,0.0,0.01,,tbd,E
Yakuza: Ishin,PS4,2014.0,Action,0.0,0.0,0.15,0.0,,,
Space Camp,DS,2009.0,Action,0.14,0.0,0.0,0.01,,tbd,E
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013.0,Action,0.0,0.0,0.15,0.0,,,
Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005.0,Action,0.15,0.0,0.0,0.0,,,
Spider-Man: Friend or Foe,Wii,2007.0,Action,0.13,0.0,0.0,0.01,59.0,8,E10+
G.I. Joe: The Rise of Cobra,PS2,2009.0,Action,0.11,0.0,0.0,0.03,50.0,2.3,T
Sengoku Musou 3 Empires,PS3,2011.0,Action,0.0,0.0,0.14,0.0,,,
Kenka Banchou 5: Otoko no Housoku,PSP,2011.0,Action,0.0,0.0,0.14,0.0,,,
Kamen Rider Ryuki,PS,2002.0,Action,0.0,0.0,0.13,0.01,,,
Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012.0,Action,0.0,0.0,0.14,0.0,,,
Gundam Breaker 2,PS3,2014.0,Action,0.0,0.0,0.14,0.0,,,
Okami,PS3,2012.0,Action,0.0,0.0,0.14,0.0,,,
Chicken Shoot,DS,2007.0,Action,0.13,0.0,0.0,0.01,19.0,3.1,E10+
Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015.0,Action,0.0,0.0,0.14,0.0,,,
Earth Defense Force 2: Invaders from Planet Space,PSP,2011.0,Action,0.0,0.0,0.14,0.0,,,
Gyakuten Saiban 2,GBA,2002.0,Action,0.0,0.0,0.14,0.0,,,
Dynasty Warriors 7: Empires,PS3,2012.0,Action,0.0,0.0,0.14,0.0,63.0,8,T
Cyber Sled,PS,1995.0,Action,0.0,0.0,0.13,0.01,,,
Robots,DS,2005.0,Action,0.12,0.0,0.0,0.01,,6.7,E
Happy Feet,Wii,2006.0,Action,0.12,0.0,0.0,0.01,46.0,6.7,E
Nayuta no Kiseki,PSP,2012.0,Action,0.0,0.0,0.14,0.0,,,
Medalot 7,3DS,2012.0,Action,0.0,0.0,0.13,0.0,,,
Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,2006.0,Action,0.0,0.0,0.13,0.0,,,
Attack on Titan (KOEI),PSV,2016.0,Action,0.0,0.0,0.13,0.0,,,
Destroy All Humans! Big Willy Unleashed,Wii,2008.0,Action,0.12,0.0,0.0,0.01,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016.0,Action,0.0,0.0,0.13,0.0,,,
Pro Baseball Spirits 2015,PSV,2015.0,Action,0.0,0.0,0.13,0.0,,,
Haunted House,Wii,2010.0,Action,0.12,0.0,0.0,0.01,41.0,tbd,E10+
Peter Jackson's King Kong: The Official Game of the Movie,DS,2005.0,Action,0.12,0.0,0.0,0.01,28.0,3.2,T
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006.0,Action,0.0,0.0,0.13,0.0,,,
Bakugan: Battle Trainer,DS,2010.0,Action,0.12,0.0,0.0,0.01,,,
Super Robot Wars BX,3DS,2015.0,Action,0.0,0.0,0.13,0.0,,,
Space Camp,Wii,2009.0,Action,0.12,0.0,0.0,0.01,,6.2,E
Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015.0,Action,0.0,0.0,0.13,0.0,,,
Tamagotchi no Pichi Pichi Omisecchi,DS,2010.0,Action,0.0,0.0,0.13,0.0,,,
Sengoku Basara 3 Utage,Wii,2011.0,Action,0.0,0.0,0.13,0.0,,,
Victorious: Time to Shine,X360,2011.0,Action,0.12,0.0,0.0,0.01,,6.5,E
WipeOut 3 The Game,WiiU,2012.0,Action,0.11,0.0,0.0,0.01,,,
Dynasty Warriors: Gundam Reborn,PSV,2013.0,Action,0.0,0.0,0.13,0.0,,,
Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009.0,Action,0.12,0.0,0.0,0.01,36.0,4.8,E10+
Resident Evil,PS3,2006.0,Action,0.0,0.0,0.12,0.0,,,
Go Play: Circus Star,Wii,2009.0,Action,0.12,0.0,0.0,0.01,,tbd,E10+
Kidou Senshi Gundam Seed Battle Destiny,PSV,2012.0,Action,0.0,0.0,0.12,0.0,,,
Gundam Battle Royale,PSP,2006.0,Action,0.0,0.0,0.12,0.0,,,
Obscure: The Aftermath,Wii,2008.0,Action,0.11,0.0,0.0,0.01,53.0,8.1,M
One Piece: Pirate Warriors 2,PSV,2013.0,Action,0.0,0.0,0.12,0.0,,,
